qSpecies,count,avgDBH
Prunus armeniaca :: Apricot,5,3.2
Prunus blireiana :: Flowering Plum,51,5.098039216
Prunus caroliniana :: Carolina Cherry Laurel,6,3
Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,22,4.727272727
Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,13,5.769230769
Prunus cerasifera :: Cherry Plum,1306,5.918070444
Prunus domestica 'Mariposa' :: Mariposa Plum,56,7.071428571
Prunus ilicifoia :: Holly-leaved Cherry,3,11.66666667
Prunus laurocerasus :: English laurel,6,13.33333333
Prunus lusitanica :: Portugese Cherry Laurel,2,6.5
Prunus lyonii :: Catalina Cherry,11,6.090909091
Prunus persica :: Peach,13,3.769230769
Prunus sargentii 'Columnaris' :: Sargent Cherry Tree 'Columnaris',1,3
Prunus serrulata 'Amanagawa' :: Flowering Cherry Tree 'Amanagawa',2,3
Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,841,5.818073722
Prunus serrulata 'Mt. Fuji' :: Mt. Fuji Cherry Tree,3,3
Prunus serrulata :: Ornamental Cherry,370,3.997297297
Prunus spp 'Purpurea' :: Cherry Plum,3,5
Prunus spp :: Cherry,28,8.214285714
Prunus spp :: Flowering Plum,1,7
Prunus subhirtella 'autumnalis' :: Higan Cherry,1,3
Prunus subhirtella 'Pendula' :: Weeping Cherry,7,8
Prunus x yedoensis 'Akebono' :: Daybreak Yoshino Cherry,4,3
Prunus x yedoensis :: Yoshino Cherry,64,5.390625
Pseudotsuga menziesii :: Douglas Fir,8,22.375
Psidium guajava :: Guava tree,2,3.5
Punica granatum 'Wonderfu :: Pomegranate Tree 'Wonderful',1,9
Pyracantha  'Santa Cruz' :: Firethorn Tree 'Santa Cruz',8,11.5
Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,100,6.3
Pyrus calleryana 'Bradford' :: Ornamental Pear: Bradford,36,7.861111111
Pyrus calleryana 'Capital' :: Ornamental Pear Tree 'Capital',3,3
Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',35,3.257142857
